,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
182,5,4,2,1,86.8,15.6,48.3,3.9,12.4,53,2.2,0.0,6.38
202,7,4,2,1,83.9,8.7,32.1,2.1,8.8,68,2.2,0.0,13.05
395,4,5,2,1,85.0,9.0,56.9,3.5,10.1,62,1.8,0.0,51.78
390,7,4,2,2,84.7,9.5,58.3,4.1,7.5,71,6.3,0.0,9.96
463,6,5,2,3,75.1,4.4,16.2,1.9,4.6,82,6.3,0.0,5.39
464,6,4,2,3,75.1,4.4,16.2,1.9,5.1,77,5.4,0.0,2.14
283,3,4,2,4,86.9,6.6,18.7,3.2,8.8,35,3.1,0.0,1.1
284,5,4,2,6,85.2,4.9,15.8,6.3,7.5,46,8.0,0.0,24.24
411,7,4,2,6,84.6,3.2,43.6,3.3,8.2,53,9.4,0.0,4.62
465,2,2,2,7,79.5,3.6,15.3,1.8,4.6,59,0.9,0.0,6.84
186,8,6,3,1,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,7.19
189,7,4,3,1,90.7,44.0,92.4,5.5,11.5,60,4.0,0.0,8.24
201,6,5,3,1,90.1,37.6,83.7,7.2,12.4,54,3.6,0.0,12.1
146,5,4,3,2,90.1,39.7,86.6,6.2,13.2,40,5.4,0.0,0.95
160,7,4,3,2,90.1,39.7,86.6,6.2,16.1,29,3.1,0.0,1.75
213,7,3,3,2,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,27.35
219,6,5,3,2,90.1,39.7,86.6,6.2,15.2,27,3.1,0.0,31.86
222,4,3,3,2,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,36.85
466,6,5,3,2,87.2,15.1,36.9,7.1,10.2,45,5.8,0.0,3.18
467,3,4,3,4,90.2,18.5,41.1,7.3,11.2,41,5.4,0.0,5.55
165,6,5,3,5,84.9,18.2,55.0,3.0,5.3,70,4.5,0.0,2.14
468,6,5,3,5,91.3,20.6,43.5,8.5,13.3,27,3.6,0.0,6.61
168,6,5,3,6,91.2,48.3,97.8,12.5,14.6,26,9.4,0.0,2.53
190,6,5,3,6,91.2,48.3,97.8,12.5,11.7,33,4.0,0.0,8.31
162,6,3,3,7,90.6,50.1,100.4,7.8,15.2,31,8.5,0.0,1.94
188,6,4,3,7,90.8,41.9,89.4,7.9,13.3,42,0.9,0.0,7.4
204,5,6,3,7,90.6,50.1,100.4,7.8,15.1,64,4.0,0.0,13.99
214,4,4,3,7,91.7,35.8,80.8,7.8,17.0,27,4.9,0.0,28.66
215,4,4,3,7,91.7,35.8,80.8,7.8,17.0,27,4.9,0.0,28.66
469,6,3,4,1,91.0,14.6,25.6,12.3,13.7,33,9.4,0.0,61.13
442,6,5,4,2,87.9,24.9,41.6,3.7,10.9,64,3.1,0.0,3.35
176,6,5,4,5,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,4.61
196,6,5,4,5,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,10.93
471,4,3,5,6,89.6,25.4,73.7,5.7,18.0,40,4.0,0.0,38.48
296,6,4,6,1,90.4,89.5,290.8,6.4,14.3,46,1.8,0.0,0.9
301,6,5,6,2,90.4,93.3,298.1,7.5,19.1,39,5.4,0.0,3.52
472,8,3,6,2,88.2,96.2,229.0,4.7,14.3,79,4.0,0.0,1.94
400,9,5,6,4,93.3,49.5,297.7,14.0,28.0,34,4.5,0.0,8.16
474,4,3,6,5,93.0,103.8,316.7,10.8,26.4,35,2.7,0.0,10.08
475,2,5,6,5,93.7,121.7,350.2,18.0,22.7,40,9.4,0.0,3.19
150,6,5,6,6,92.5,56.4,433.3,7.1,23.2,39,5.4,0.0,1.19
473,9,4,6,7,90.5,61.1,252.6,9.4,24.5,50,3.1,0.0,70.32
151,9,9,7,1,90.1,68.6,355.2,7.2,24.8,29,2.2,0.0,1.36
422,8,6,7,1,88.9,263.1,795.9,5.2,29.3,27,3.6,0.0,6.3
477,4,3,7,1,93.7,101.3,423.4,14.7,26.1,45,4.0,0.0,7.36
478,7,4,7,1,93.7,101.3,423.4,14.7,18.2,82,4.5,0.0,2.21
412,9,4,7,2,92.3,92.1,442.1,9.8,22.8,27,4.5,0.0,1.63
479,7,4,7,2,89.2,103.9,431.6,6.4,22.6,57,4.9,0.0,278.53
138,9,9,7,3,85.8,48.3,313.4,3.9,18.0,42,2.7,0.0,0.36
293,7,6,7,3,93.1,180.4,430.8,11.0,26.9,28,5.4,0.0,86.45
294,8,6,7,3,92.3,88.8,440.9,8.5,17.1,67,3.6,0.0,6.57
416,6,3,7,3,92.7,164.1,575.8,8.9,26.3,39,3.1,0.0,7.02
380,5,4,7,4,93.7,101.3,458.8,11.9,19.3,39,7.2,0.0,7.73
476,4,3,7,5,93.5,85.3,395.0,9.9,27.2,28,1.3,0.0,1.76
480,9,9,7,5,93.2,114.4,560.0,9.5,30.2,25,4.5,0.0,2.75
223,2,2,7,6,88.3,150.3,309.9,6.8,13.4,79,3.6,0.0,37.02
292,4,5,7,6,91.6,100.2,466.3,6.3,22.9,40,1.3,0.0,2.64
143,1,2,7,7,90.0,51.3,296.3,8.7,16.6,53,5.4,0.0,0.71
152,3,4,7,7,90.1,51.2,424.1,6.2,24.6,43,1.8,0.0,1.43
291,9,4,7,7,91.6,104.2,474.9,9.0,25.3,39,0.9,0.0,8.0
155,7,4,8,1,94.8,108.3,647.1,17.0,16.4,47,1.3,0.0,1.56
172,7,4,8,1,91.4,142.4,601.4,10.6,20.1,39,5.4,0.0,2.74
177,2,5,8,1,90.2,99.6,631.2,6.3,19.2,44,2.7,0.0,4.69
220,8,6,8,1,90.2,99.6,631.2,6.3,16.2,59,3.1,0.0,32.07
235,8,6,8,1,91.4,142.4,601.4,10.6,19.6,41,5.8,0.0,196.48
242,2,4,8,1,94.2,122.3,589.9,12.9,15.4,66,4.0,0.0,10.13
244,2,4,8,1,91.8,175.1,700.7,13.8,22.4,54,7.6,0.0,2.87
245,3,4,8,1,91.8,175.1,700.7,13.8,26.8,38,6.3,0.0,0.76
246,5,4,8,1,91.8,175.1,700.7,13.8,25.7,39,5.4,0.0,0.09
385,2,4,8,1,91.6,181.3,613.0,7.6,20.9,50,2.2,0.0,16.0
397,5,6,8,1,91.6,181.3,613.0,7.6,24.3,33,3.6,0.0,3.63
418,2,4,8,1,92.0,203.2,664.5,8.1,24.9,42,5.4,0.0,2.44
419,2,5,8,1,91.6,181.3,613.0,7.6,24.8,36,4.0,0.0,3.05
429,3,4,8,1,91.6,181.3,613.0,7.6,24.6,44,4.0,0.0,3.2
433,2,4,8,1,93.6,235.1,723.1,10.1,20.9,66,4.9,0.0,15.34
