,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
395,4,5,2,1,85.0,9.0,56.9,3.5,10.1,62,1.8,0.0,51.78
469,6,3,4,1,91.0,14.6,25.6,12.3,13.7,33,9.4,0.0,61.13
473,9,4,6,7,90.5,61.1,252.6,9.4,24.5,50,3.1,0.0,70.32
479,7,4,7,2,89.2,103.9,431.6,6.4,22.6,57,4.9,0.0,278.53
293,7,6,7,3,93.1,180.4,430.8,11.0,26.9,28,5.4,0.0,86.45
235,8,6,8,1,91.4,142.4,601.4,10.6,19.6,41,5.8,0.0,196.48
513,2,4,8,1,81.6,56.7,665.6,1.9,21.9,71,5.8,0.0,54.29
420,8,8,8,4,91.7,191.4,635.9,7.8,26.2,36,4.5,0.0,185.76
457,1,4,8,4,91.7,191.4,635.9,7.8,19.9,50,4.0,0.0,82.75
415,8,6,8,5,94.8,222.4,698.6,13.9,27.5,27,4.9,0.0,746.28
227,8,6,8,7,92.2,81.8,480.8,11.9,20.1,34,4.5,0.0,58.3
229,8,6,8,7,92.2,81.8,480.8,11.9,16.4,43,4.0,0.0,71.3
377,2,2,8,7,93.7,231.1,715.1,8.4,21.9,42,2.2,0.0,174.63
228,4,6,9,1,93.5,149.3,728.6,8.1,28.3,26,3.1,0.0,64.1
231,1,5,9,1,93.5,149.3,728.6,8.1,27.8,27,3.1,0.0,95.18
392,1,3,9,1,91.0,276.3,825.1,7.1,21.9,43,4.0,0.0,70.76
337,6,3,9,2,91.6,108.4,764.0,6.2,23.0,34,2.2,0.0,56.04
232,6,4,9,3,91.0,129.5,692.6,7.0,18.7,43,2.7,0.0,103.39
233,9,4,9,3,84.4,73.4,671.9,3.2,24.3,36,3.1,0.0,105.66
237,1,2,9,3,91.0,129.5,692.6,7.0,18.8,40,2.2,0.0,212.88
230,4,4,9,4,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,88.49
234,4,5,9,7,92.5,121.1,674.4,8.6,17.7,25,3.1,0.0,154.88
236,2,2,9,7,92.5,121.1,674.4,8.6,18.2,46,1.8,0.0,200.94
238,6,5,9,7,92.5,121.1,674.4,8.6,25.1,27,4.0,0.0,1090.84
