,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
182,5,4,2,1,,15.6,48.3,3.9,12.4,,2.2,0.0,6.38
202,7,4,2,1,,8.7,32.1,2.1,8.8,,2.2,0.0,13.05
395,4,5,2,1,,9.0,,3.5,10.1,,1.8,0.0,
390,7,4,2,2,,9.5,,4.1,7.5,,6.3,0.0,9.96
463,6,5,2,3,,4.4,16.2,1.9,4.6,,6.3,0.0,5.39
464,6,4,2,3,,4.4,16.2,1.9,5.1,,5.4,0.0,2.14
283,3,4,2,4,,6.6,18.7,3.2,8.8,35.0,3.1,0.0,1.1
284,5,4,2,6,,4.9,15.8,6.3,7.5,46.0,8.0,0.0,24.24
411,7,4,2,6,,3.2,43.6,3.3,8.2,,9.4,0.0,4.62
465,2,2,2,7,,3.6,15.3,1.8,4.6,,0.9,0.0,6.84
186,8,6,3,1,,,,9.6,11.5,39.0,5.8,0.0,7.19
189,7,4,3,1,,44.0,,5.5,11.5,,4.0,0.0,8.24
201,6,5,3,1,,37.6,,7.2,12.4,,3.6,0.0,12.1
146,5,4,3,2,,39.7,,6.2,13.2,40.0,5.4,0.0,0.95
160,7,4,3,2,,39.7,,6.2,16.1,29.0,3.1,0.0,1.75
213,7,3,3,2,,,,5.0,11.0,46.0,5.8,0.0,27.35
219,6,5,3,2,,39.7,,6.2,15.2,27.0,3.1,0.0,31.86
222,4,3,3,2,,,,5.0,11.0,46.0,5.8,0.0,36.85
466,6,5,3,2,,15.1,36.9,7.1,10.2,45.0,5.8,0.0,3.18
467,3,4,3,4,,18.5,41.1,7.3,11.2,41.0,5.4,0.0,5.55
165,6,5,3,5,,18.2,,3.0,5.3,,4.5,0.0,2.14
468,6,5,3,5,,20.6,43.5,8.5,13.3,27.0,3.6,0.0,6.61
168,6,5,3,6,,48.3,,12.5,14.6,26.0,9.4,0.0,2.53
190,6,5,3,6,,48.3,,12.5,11.7,33.0,4.0,0.0,8.31
162,6,3,3,7,,,,7.8,15.2,31.0,8.5,0.0,1.94
188,6,4,3,7,,41.9,,7.9,13.3,42.0,0.9,0.0,7.4
204,5,6,3,7,,,,7.8,15.1,,4.0,0.0,13.99
214,4,4,3,7,,35.8,,7.8,17.0,27.0,4.9,0.0,28.66
215,4,4,3,7,,35.8,,7.8,17.0,27.0,4.9,0.0,28.66
469,6,3,4,1,,14.6,25.6,12.3,13.7,33.0,9.4,0.0,
442,6,5,4,2,,24.9,41.6,3.7,10.9,,3.1,0.0,3.35
176,6,5,4,5,,9.1,,2.7,5.8,,5.8,0.0,4.61
196,6,5,4,5,,9.1,,2.7,5.8,,5.8,0.0,10.93
471,4,3,5,6,,25.4,,5.7,18.0,40.0,4.0,0.0,38.48
296,6,4,6,1,,,,6.4,14.3,46.0,1.8,0.0,0.9
301,6,5,6,2,,,,7.5,19.1,39.0,5.4,0.0,3.52
472,8,3,6,2,,,,4.7,14.3,,4.0,0.0,1.94
400,9,5,6,4,,49.5,,14.0,28.0,34.0,4.5,0.0,8.16
474,4,3,6,5,,,,10.8,26.4,35.0,2.7,0.0,10.08
475,2,5,6,5,,,,18.0,22.7,40.0,9.4,0.0,3.19
150,6,5,6,6,,,,7.1,23.2,39.0,5.4,0.0,1.19
473,9,4,6,7,,,,9.4,24.5,,3.1,0.0,
151,9,9,7,1,,,,7.2,24.8,29.0,2.2,0.0,1.36
422,8,6,7,1,,,,5.2,29.3,27.0,3.6,0.0,6.3
477,4,3,7,1,,,,14.7,26.1,45.0,4.0,0.0,7.36
478,7,4,7,1,,,,14.7,18.2,,4.5,0.0,2.21
412,9,4,7,2,,,,9.8,22.8,27.0,4.5,0.0,1.63
479,7,4,7,2,,,,6.4,22.6,,4.9,0.0,
138,9,9,7,3,,48.3,,3.9,18.0,42.0,2.7,0.0,0.36
293,7,6,7,3,,,,11.0,26.9,28.0,5.4,0.0,
294,8,6,7,3,,,,8.5,17.1,,3.6,0.0,6.57
416,6,3,7,3,,,,8.9,26.3,39.0,3.1,0.0,7.02
380,5,4,7,4,,,,11.9,19.3,39.0,7.2,0.0,7.73
476,4,3,7,5,,,,9.9,27.2,28.0,1.3,0.0,1.76
480,9,9,7,5,,,,9.5,30.2,25.0,4.5,0.0,2.75
223,2,2,7,6,,,,6.8,13.4,,3.6,0.0,37.02
292,4,5,7,6,,,,6.3,22.9,40.0,1.3,0.0,2.64
